"","full_text","display_text_range","retweet_count","favorite_count","lang","followers_count","friends_count","url","description","verified"
"2971","During his address, HE Mr @Videluca59, Ambassador, @ItalyinIndia, said, “There is a sensitive relationship between youth and #ClimateChange.” No section of society apart from the youth can negotiate in the field of environment, he added. https://t.co/YESL5O59oJ",237,2,5,"en",23678,796,"https://t.co/deqnXVt8Vs","The Energy and Resources Institute -TERI is an independent not-for-profit research institute focused on energy, environment, and sustainable development.",TRUE
"2972","In her welcome address, @DrVibhaDhawan, Director General, TERI, noted, ""World is looking towards India (#G20) and mission #LiFE. We have to be proactive and bring more behavioral change."" 

#ClimateChange #ClimateAction https://t.co/OsRgtYs85E",219,0,2,"en",23678,796,"https://t.co/deqnXVt8Vs","The Energy and Resources Institute -TERI is an independent not-for-profit research institute focused on energy, environment, and sustainable development.",TRUE
"2973","The photographs captured the essence of #ClimateChange, its impacts, and #ClimateActions taken by youth to foster the concept of Mission LiFE. https://t.co/wMmBlBpOpu",142,2,4,"en",23678,796,"https://t.co/deqnXVt8Vs","The Energy and Resources Institute -TERI is an independent not-for-profit research institute focused on energy, environment, and sustainable development.",TRUE
"2974","RT @iki_germany: This #IKI supported Policy Paper analyzes the role of #ecosystem #restoration to #climatechange mitigation and adaptation…",139,6,0,"en",382,83,"https://t.co/E3WCnQGl2Q","African Coalition for Sustainable Energy & Access (ACSEA) is an alliance of civil society organizations promoting renewable energy and access across Africa.",FALSE
"2975","RT @IOM_MECC: Interesting in having experience in policy and communication related to #DisasterDisplacement in Geneva?

Apply by 2 March! #…",140,3,0,"en",5777,2843,"https://t.co/4sgf20OKAR","State-led initiative working towards better protection for people displaced across borders in the context of disasters & climate change. Led by the EU & Kenya.",FALSE
"2976","REPORT 📄 | Our #Arctic report details what can be done to mitigate the #security risks linked to #ClimateChange in the region.

See the recommendations given by various stakeholders below.
↪️ https://t.co/GsYu2q6yfk",215,0,0,"en",42842,1374,"https://t.co/cOxpg91Fpo","The think tank for a more inclusive, sustainable and forward-thinking Europe. #FoEDebate",FALSE
"2977","RT @UNDP: Terms used to discuss #ClimateChange can be daunting.

That's why we've prepared an easy-to-understand resource for anyone wishin…",140,33,0,"en",3229,3124,"https://t.co/U8blhu9ZFC","It takes a lot to defy common sense on a global scale all to benefit one industry. 🌎 climate activist 🇨🇦 vegetarian 🌿 #climatecrisis 1.2°C",FALSE
"2978","@EvaVlaar #WEMUSTBEUNITED
#TODOSLOSESCLAVOSDEBENOBEDECER
#ALLSLAVESMUSTOBEY
#ClimateChange
#PutinFault
#PANAMA
https://t.co/nUDpQHycfL https://t.co/VgHuvFgyXh #TwitterGate
#Balenciaga #Freedom
#Agenda2030 #DutchLand #ChinaProtests #CHINA
#JustinTrudeau #RoeVsWade #Ukraine #EUCorruption",286,0,0,"und",1415,1552,NA,"..:: PLEASE DONT DO IT, CALL FOR HELP 1.800.273.8255 ::.. Luke 9:24 .... Pray for the USA Galatians 6:7 .... #Defundplannedparenthood  ... ABORTION IS MURDER ..",FALSE
"2979","#WEMUSTBEUNITED
#TODOSLOSESCLAVOSDEBENOBEDECER
#ALLSLAVESMUSTOBEY
#ClimateChange
#PutinFault
#PANAMA
https://t.co/nUDpQHycfL https://t.co/VgHuvFgyXh #TwitterGate
#Balenciaga #Freedom
#Agenda2030 #DutchLand #ChinaProtests #CHINA
#JustinTrudeau #RoeVsWade #Ukraine #EUCorruption https://t.co/SrQdvJUEld",276,1,1,"und",1415,1552,NA,"..:: PLEASE DONT DO IT, CALL FOR HELP 1.800.273.8255 ::.. Luke 9:24 .... Pray for the USA Galatians 6:7 .... #Defundplannedparenthood  ... ABORTION IS MURDER ..",FALSE
"2980","‘China at high risk to climate impacts’

China is home to 16 of the 20 regions most vulnerable to climate change in the world, a study has found

@xdi_systems

#energy #energycrisis #climatechange #netzero 

https://t.co/LItE0bFGfP",231,0,0,"en",4782,537,"https://t.co/4SKH5glhep","We demonstrate to the public the commitments that organisations are taking in a positive light as we all try to reduce our carbon footprint.",FALSE
"2981","@RWMaloneMD #WEMUSTBEUNITED
#TODOSLOSESCLAVOSDEBENOBEDECER
#ALLSLAVESMUSTOBEY
#ClimateChange
#PutinFault
#PANAMA
https://t.co/nUDpQHycfL https://t.co/VgHuvFgyXh #TwitterGate
#Balenciaga #Freedom
#Agenda2030 #DutchLand #ChinaProtests #CHINA
#JustinTrudeau #RoeVsWade #Ukraine #EUCorruption",288,0,0,"und",1415,1552,NA,"..:: PLEASE DONT DO IT, CALL FOR HELP 1.800.273.8255 ::.. Luke 9:24 .... Pray for the USA Galatians 6:7 .... #Defundplannedparenthood  ... ABORTION IS MURDER ..",FALSE
"2982","RT @wsacentre: CALL FOR SUBMISSION! 

Are you passionate about the environment and our planet? 🌍 Are you a creative non-fiction, poetry, sh…",140,46,0,"en",29,38,NA,"#MzeeTumboSeries ina Dhima ya kuelimisha, kukosoa na kutoa burudani kwa wasomaji.",FALSE
"2983","📰This @UNDP blog argues that crises such as #COVID19 &amp; #ClimateChange demonstrate the value of #SouthSouthCooperation, #Multilateralism &amp; #CollectiveAction for reducing human suffering &amp; accelerating the path towards #SustainableDevelopment.
Read more👉🏾 https://t.co/7pMWKoUrUw https://t.co/OoXmB2t5Ah",289,6,10,"en",1627,1187,"https://t.co/McVcZ9vCzQ","Global knowledge sharing & partnership brokering platform on SSTC

The views and positions expressed here do not necessarily reflect those of UNOSSC or the UN.",FALSE
"2984","#WEMUSTBEUNITED
#TODOSLOSESCLAVOSDEBENOBEDECER
#ALLSLAVESMUSTOBEY
#ClimateChange
#PutinFault
#PANAMA
https://t.co/nUDpQHycfL https://t.co/VgHuvFgyXh #TwitterGate
#Balenciaga #Freedom
#Agenda2030 #DutchLand #ChinaProtests #CHINA
#JustinTrudeau #RoeVsWade #Ukraine #EUCorruption https://t.co/bgFAJ84A7R",276,0,1,"und",1415,1552,NA,"..:: PLEASE DONT DO IT, CALL FOR HELP 1.800.273.8255 ::.. Luke 9:24 .... Pray for the USA Galatians 6:7 .... #Defundplannedparenthood  ... ABORTION IS MURDER ..",FALSE
"2985","#GretaThunberg #AndrewTate #Threatened #ClimateChange #ClimateJustice

Stay protected online 63% off + gift: https://t.co/u6OzERieYw

https://t.co/SGtpEPlrkX",157,0,0,"en",332,647,"https://t.co/pAtgiclPkx","#IoT is coming and#CyberSecurity is crucial with it. Most of those #connected #devices are insecure. Follow us and stay on the edge of modern #cybersec",FALSE
"2986","@Juzza07 Umm, you *do* know that LNER are  run directly by the government. No? There are no shareholders. #hs2? Without it we'll never tackle #ClimateChange and our biggest source of #co2 emissions (transport).",210,0,13,"en",3525,3354,NA,"Freelance photographer, Journalist, Blogger, Traveller, NUJ member.",FALSE
"2987","RT @ClimatChristo: TRULY STUNNING MOMENT in  #Antarctica 

B29 structure has imploded in a few days 
WOW 

Your daily #Thwaites update 20.0…",140,21,0,"en",29,104,NA,"Şiir yazarım climate crisis",FALSE
"2988","RT @PundiXLabs: At #PUNDIX, we care about sustainability and build the products with care. We are also committed to combating #climatechang…",140,235,0,"en",1,126,NA,"It doesn’t matter what we are. It matters what we do.
#raredigitalart",FALSE
"2989","@Xx17965797N #WEMUSTBEUNITED
#TODOSLOSESCLAVOSDEBENOBEDECER
#ALLSLAVESMUSTOBEY
#ClimateChange
#PutinFault
#PANAMA
https://t.co/nUDpQHycfL https://t.co/VgHuvFgyXh #TwitterGate
#Balenciaga #Freedom
#Agenda2030 #DutchLand #ChinaProtests #CHINA
#JustinTrudeau #RoeVsWade #Ukraine #EUCorruption",289,0,0,"und",1415,1552,NA,"..:: PLEASE DONT DO IT, CALL FOR HELP 1.800.273.8255 ::.. Luke 9:24 .... Pray for the USA Galatians 6:7 .... #Defundplannedparenthood  ... ABORTION IS MURDER ..",FALSE
"2990","RT @OrganicLiveFood: #Climatechange: How 1.5 C degrees of #globalwarming could change the world: https://t.co/sRGbUvkMUZ One million specie…",140,19,0,"en",97,340,NA,"será que es Simplemente fe? 

-esperanza, ilusión, confianza, posibilidad, fe, expectativa-
-faith, belief, confidence, hope, creed, conviction-",FALSE
"2991","#WEMUSTBEUNITED
#TODOSLOSESCLAVOSDEBENOBEDECER
#ALLSLAVESMUSTOBEY
#ClimateChange
#PutinFault
#PANAMA
https://t.co/nUDpQHycfL https://t.co/VgHuvFgyXh #TwitterGate
#Balenciaga #Freedom
#Agenda2030 #DutchLand #ChinaProtests #CHINA
#JustinTrudeau #RoeVsWade #Ukraine #EUCorruption https://t.co/aEhyju0vY4",276,0,0,"und",1415,1552,NA,"..:: PLEASE DONT DO IT, CALL FOR HELP 1.800.273.8255 ::.. Luke 9:24 .... Pray for the USA Galatians 6:7 .... #Defundplannedparenthood  ... ABORTION IS MURDER ..",FALSE
"2992","RT @BinanceBCF: #2:""There's no 1 solution to a crisis as large as #climatechange—we need them all. Including a powerful climate solution th…",140,177,0,"en",0,24,NA,"#nft
📆23 years",FALSE
"2993","The impacts of #climatechange are being felt in every corner of the planet. To solve this crisis, @Capgemini #sustainability guru Sol Salinas believes that we must move toward Net Positive business models. Watch this eye-opening #tedx talk to learn more: https://t.co/RbmW0Pv1eg https://t.co/Pgy6qsAFdh",278,0,1,"en",65,30,"https://t.co/F3mZIUT4LY","Ideas Worth Spreading in Washington DC.",FALSE
"2994","Looking for a #postdoc interested in using genome editing to understand #temperature tolerance 🐤. Opportunity to write 2 yr joint proposal to join us @Biology_LU @lunduniversity. DL 15 April – email for info. Be great if you could RT. #postdocjobs #postdocposition #climatechange https://t.co/j5u8343hD1",279,42,32,"en",1002,1255,"https://t.co/wxlfSbIDlq","AssocProf @lunduniversity. Member @Ungaakademin. #temperature #mitochondria #scicomm. Manager @FragaEnBiolog. @joinmastodon - CyanistesNord@ecoevo.social",FALSE
"2995","#FAC | Water &amp; climate diplomacy are of utmost importance for #Slovenia 🇸🇮. We join the most ambitious 🇪🇺 MS, which is also reflected in our new foreign policy strategy. We need more cooperation on high-performance technologies to tackle #ClimateChange more effectively - @tfajon. https://t.co/InSNyfERUF",284,8,19,"en",28612,3203,"https://t.co/mGNMqn6VPk","Ministry of Foreign and European Affairs of the Republic of Slovenia 🇸🇮 | Ministrstvo za zunanje in evropske zadeve Republike Slovenije",FALSE
"2996","RT @cityclim: Droughts can also affect cities in a numbers of ways: threatening urban water supply, food supply, and dieback of trees/green…",140,1,0,"en",1413,616,NA,"Meteorologie, phys. Geogr., Klimatologie, Extrem- & Unwetterlagen, Naturgefahren +++ Gefahrenabwehr +++ ATMOSCIENCE GmbH / @meteologix / @kachelmannwettr",FALSE
"2997","RT @patriot_savvy: Perhaps travel to #EastPalestine #Ohio before #Ukraine. Oh, and… how many gallons of fuel did you use to get over there?…",140,19,0,"en",172,269,NA,"Potter, Artist, MAGA",FALSE
"2998","Introducing Siphamandla Mqomboti - Youth Journalist for our Rural Action for Climate Resilience project who recently joined our team.
Siphamandla loves working with people and is passionate about #ruralcommunitydevelopment. 

Welcome to the team!🙂
#climatechange #ruralaction https://t.co/PYiuh4bV1Z",275,1,4,"en",482,515,"https://t.co/kyS6pIU44r","SCAT is a veteran human rights and social justice, philanthropy (re-granting) organisation. We partner with rural and peri-urban local development agencies.",FALSE
"2999","RT @theclimakers: Are you looking for solutions to #ClimateChange?
Do you believe in a #SustainableFuture for our🌎?
Are you aware that your…",140,3,0,"en",8426,2311,"https://t.co/GOmqoWbKCi","The World Farmers’ Organisation brings together producer organisations and agricultural cooperatives around the world, advocating for farmers worldwide.",FALSE
"3000","This #WorldDayOfSocialJustice we share the voices of people in Mali, where #ClimateChange is causing conflict over natural resources. They're calling for locally-led solutions to help communities cope with the changing climate in our @WaterPeaceSec story: https://t.co/pOrK5CvK6B https://t.co/jg19pFH6no",279,4,7,"en",21599,5708,"https://t.co/8JH7CT2Ck3","Independent #peacebuilding charity that has worked for 30 years to lay the foundations for lasting #peace in communities affected by violent conflict.",TRUE
"3001","RT @theclimakers: Are you looking for solutions to #ClimateChange?
Do you believe in a #SustainableFuture for our🌎?
Are you aware that your…",140,3,0,"en",152,9,"https://t.co/M2rO6dh9Ps","President of the @worldfarmersorg representing the global #farmers’ community",FALSE
"3002","RT @LossandDamage: 1/2. 📢OPEN CALL: @CA_Latest is editing a special issue of @ClimDevJournal on ""Novel Approaches in Climate Impacts, Vulne…",140,27,0,"en",633,1174,NA,"Limonolgist; Hydroclimatologist; Data Science & Analytics-SPSS, MATLAB & R programming #rstat",FALSE
"3003","@MihaStiff @_GlobalCrisis_ It’s only beginning. Let’s act to save billions of lives. Watch international forum “Global Crisis. Our survival in unity” on https://t.co/VOaLM8UF3g to see what you can do.
#CreativeSociety #climatechange #SurvivalinUnity",249,0,4,"en",207,249,NA,"I support Creative Society https://t.co/CzUM28Qlnz",FALSE
"3004","RT @NHgreenbuilding: The 2035 Report – A Blueprint for How the US (and others) Can Transition to a #CleanEnergy #Economy, Starting NOW: htt…",140,29,0,"en",627,263,"http://t.co/gQAt7KoKhD","#NYGreenBuilding can help share #NewYork #greenbuilding news and events. (To support existing orgs/resources, not replace!)",FALSE
"3005","German Chancellor #OlafScholz will arrive in India on a two-day state visit on Feb 25-26, official sources said adding that the focus of the visit likely to be on discussing measures to combat #climatechange and greater mobility of skilled Indian personnel to Germany. https://t.co/l9KkAI7QNg",268,1,2,"en",85206,43,"https://t.co/s3K3RGtuKb","India's largest independent News Agency",TRUE
"3006","Macroeconomic factors &amp; uniqueness of the insurance space in Florida will impact loss development in the aftermath of #HurricaneIan.

Read about the 2022 U.S. Weather, Climate and Catastrophe losses: https://t.co/FD41UjoX9e

#ClimateChange #ImpactForecasting #CatastropheInsight https://t.co/19z5PcSoxd",282,0,0,"en",8312,256,"https://t.co/zcy99xoE3e","Aon plc (NYSE:AON) is a leading global professional services firm providing a broad range of #risk, #retirement and #health solutions.",FALSE
"3007",".
It’s time to climate-proof our homes
via @WEF

https://t.co/1g8v1HXFuU

#home #ClimateChange #GlobalWarming #climate #ClimateAction #ClimateCrisis #ClimateEmergency",166,0,2,"en",7169,7011,"https://t.co/jIHfaclAVs","practical #ClimateAction ~ Join my journey to #ZeroCarbon ~ #climate #ClimateChange #videos ~ #hope in the face of #GlobalWarming & #ClimateCrisis ~ born 329ppm",FALSE
"3008","This #IKI supported Policy Paper analyzes the role of #ecosystem #restoration to #climatechange mitigation and adaptation under the @UNFCCC and the Paris Agreement. @giz_gmbh #GenerationRestoration 

Read more ➡ https://t.co/fSsNCH6adP https://t.co/B4stuZcGx6",235,6,14,"en",9666,427,"https://t.co/7SG0lM3DJB","The International Climate Initiative (IKI) supports climate & biodiversity projects worldwide. Committed together: @bmwk @bmuv @GermanyDiplo",FALSE
"3009","‘Ukraine War will lead to huge growth in the LNG market’

Annual average growth of supply is predicted to sit at 5.3% for the next seven years

@Refinitiv

#energy #energycrisis #climatechange #netzero 

https://t.co/2qAkhs947m",227,0,1,"en",12298,834,"https://t.co/B78V2kmmyE","ELN a multiple award-winning news service covering energy. 
We run amazing events too!",FALSE
"3010","RT @LossandDamage: 1/2. 📢OPEN CALL: @CA_Latest is editing a special issue of @ClimDevJournal on ""Novel Approaches in Climate Impacts, Vulne…",140,27,0,"en",6651,1072,"https://t.co/HoxhFYyw4e","✝️ The official Catholic aid agency of Scotland. 
🙏 We reach out to our global neighbours in need.
🌍 Join the chorus for a just and green world.",FALSE
"3011","Free Webinar: Diversity, Equity &amp; Inclusion in Climate Planning, February 28, 11am ET: https://t.co/BozyEE7gV2 @BetterBldgsDOE @ENERGY #diversity #equity #SDGs #inclusion #DEI #greenbuilding #building #buildings #energy #energyefficiency #builtenvironment #climatechange #free https://t.co/B9dNkFmRag",280,0,0,"en",29,47,NA,"Let's talk about Green Building in Georgia! This account is part of the https://t.co/gcBENdSZqJ community and has a companion group on the platform. Add Your voice!",FALSE
"3012","Tropical seagrass meadows are sand factories that could protect coral reef islands from sea-level rise. #ClimateChange
https://t.co/0enwc2Hw3p",142,1,3,"en",1391,1144,"https://t.co/YpxBZTSYcM","• She/Her • #ACAB • ⒶccomplicⒺ • #Uyghur • Eco • #TheSimpsons • No bras, no masters • #shrugpolls • ""Not"" a cult leader • #TheEmpiresMustFall • Tired • 🏴•",FALSE
"3013","#China’s Debt Trap and #ClimateChange 

Watch Hon. Mohamed Nasheed and Samir Saran in conversation at the Kigali Global Dialogue

#ToKigali #KGD2022

https://t.co/9O5f2Q5nhI",173,0,1,"en",3174,28,"https://t.co/3tBgKMt5KE","Centre for Economy and Growth @orfonline.",TRUE
"3014","✨ New #Engineering opportunity:
 
💼 Systems Test Engineer at
🍀 Span @span_io
📍 San Francisco, United States
 
Apply now!
 
#ClimateChange #ClimateJobs #Work 

https://t.co/NkfJqE9XAX",182,0,0,"en",407,278,"https://t.co/3WlvXbn55V","#1 Site for Climate and Climate Tech Careers!

Search ➙ Apply ➙ Get Hired & Make a Real Difference

#Climate #ClimateTech #ActOnClimate #ClimateJobs #ActNow",FALSE
"3015","7 #ColoradoRiver basin states facing confrontation between 19th century water laws, 20th century #infrastructure and 21st century #water demands and megadrought due #ClimateChange. Situations everywhere will become more serious unless water demands reduced significantly https://t.co/oaXla2zUre",270,10,13,"en",1255,14,"https://t.co/VURPP5XioQ","Distinguished Visiting Professor @UofGlasgow. Leading international authority on water, environment, development, geopolitics and international relations.",FALSE
"3016","Hydrogen flights from Birmingham to Ibiza?

Birmingham Airport has teamed up with ZeroAvia to push forward zero-emission flights this decade

@ZeroAvia
@bhx_official

#energy #energycrisis #climatechange #netzero #hydrogen 

https://t.co/lrgsmvnxgD",248,0,1,"en",12298,834,"https://t.co/B78V2kmmyE","ELN a multiple award-winning news service covering energy. 
We run amazing events too!",FALSE
"3017","you can hear me calling https://t.co/cDntSHoD0K #ClimateChange #SaveTheWorld #ClimateAction #GENERALELECTION #ToriesUnfitToGovern #musicvideo",141,0,0,"en",7733,1393,NA,"#ClimateChange #freemusic #acousticmusic #NowPlaying #followback #ClimateAction #GTTO #ToriesOut",FALSE
"3018","RT @planttreaty: #CheckItOut➡️Message from Secretary @kentnnadozie of the International @planttreaty of the @FAO  
#ItAllStartsWithTheSeed🌱…",140,13,0,"en",731,853,NA,"",FALSE
"3019","RT @NCSE: While no specific issues are described in the bill as controversial, evolution and climate change — though not scientifically con…",140,3,0,"en",1163,1221,NA,"We won a major battle, but more work needs to be done - continuing work for the Resistance #Ω ExtremeMasker",FALSE
"3020","@Abramjee #ClimateCrisis #climatechange",39,0,0,"und",930,4987,"https://t.co/lGg50Ed1Um","I believe in #ClimateCrisis. Free thinking spirit. Trying to help one day at a time.",FALSE
"3021","Feed the seeds your sow https://t.co/cDntSHoD0K #ClimateChange #SaveTheWorld #ClimateAction #ToryBudgetingTips",110,0,0,"en",7733,1393,NA,"#ClimateChange #freemusic #acousticmusic #NowPlaying #followback #ClimateAction #GTTO #ToriesOut",FALSE
"3022","RT @SustainablePitt: Join us Wednesday for the @PittMCSI Green Speakeasy Research Slam focused on #Humanities #Sustainability #ClimateChang…",140,3,0,"en",4925,1390,"https://t.co/8vq9RPbQff","Engineering excellence since 1846. Ranked among the top 25 public engineering programs nationally by US News & World Report.",TRUE
"3023","@SpelmanCollege graduate @HeatherMcTeer will be the opening speaker for the #JustCreation Conference taking place March 16-18 @CTSeminary! Register today! #EnvironmentalJustice #ClimateChange  https://t.co/cpIjHDb7hf https://t.co/y0bWhLv0Di",216,0,0,"en",3533,1667,"https://t.co/P8H3CfBVSB","We educate and nurture faithful, imaginative, and effective leaders for the Church and the world. Ask us about our Degree Programs!",FALSE
"3024","Knowledgeable. Authoritative. Dispassionate. 3 words which sum up Prof. Petteri Taalas’ @WMO remarks on #climatechange @wrs 8pm CET https://t.co/PG5YU0OcgH",155,0,0,"en",644,882,"https://t.co/Goxuxr15LH","Experienced advisor on difficult communication issues. Former Chairman, British-Swiss Chamber of Commerce Geneva. Founder - The McKay Interview.",FALSE
"3025","RT @wsacentre: CALL FOR SUBMISSION! 

Are you passionate about the environment and our planet? 🌍 Are you a creative non-fiction, poetry, sh…",140,46,0,"en",2585,1675,NA,"Please respect each Prompt Hosts rules. Be Kindness Not Hate. If I miss your prompt please DM me, so I can find & retweet ~Admin~ Much Love 2 #Prompt Community",FALSE
"3026","Woke In The Streets: In-Road Wireless EV Charging Comes To Indiana https://t.co/DfTaoSfvz9 #Tesla #EV #ClimateChange #Renewables #RenewableEnergy",145,0,0,"en",245,976,"https://t.co/istY1Bq9cf","Zulu, X-ray, Charlie etc... Enthusiastic EV driver & advocate. Failed techblogger. Failed YouTuber. I like yellow. Get your Elon's Song NFT here:",FALSE
"3027","RT @patriciakombo: Climate Change and food security.

The image speaks it all.
Crops are drying as a result of continued drought in Kenya .…",140,35,0,"en",844,1592,NA,"#BeGood #DoGood #BeKind",FALSE
"3028","RT @FAOAfrica: Early actions are the most cost-effective measures to prevent and reduce the devastating and long-lasting impacts of climate…",140,6,0,"en",3607,620,"https://t.co/zFFaOHBMBs","Multidisciplinary thinker, using biblical philosophy to disentangle the nexus between conflict, food security, climate change & peace @foodrestoration @globallf",FALSE
"3029","Today we present @RobertoRazeto, one of the speakers of our event.
Razeto is the Head of International Affairs and Ranking, at IULM University.
He will talk about Sustainability University Rankings.
#sustainabilityuniversityrankings #sustainability #climatechange #unesco https://t.co/JMG6vRhrsE",271,0,0,"en",48,39,"https://t.co/C29iFIWL4D","CP is a digital information and communication platform to tackle climate change and build a sustainable world.
Curbing disinformation with UNESCO",FALSE
"3030","RT @otley2030: Exciting diary date-an evening with TOM HEAP, in Otley!
Headlining our Green Weekend, the BBC Countryfile &amp; Costing the Eart…",144,4,0,"en",287,384,NA,"Retired headteacher, Otley Council leader, church leader, loving projects, having fun saying what I think and trying to make a difference in new ways.",FALSE
"3031","#ClimateChange #China #GDP #AtRisk
https://t.co/RVQaeeMkol",58,0,0,"und",279,218,"https://t.co/UrZqVzpH9Q","",FALSE
"3032","RT @BeyondPowerfull: What a silly society we live in.
#clownworld #ClimateScam #WEFpuppet #gatesfoundation #puppets #muppets #climatechange…",140,15,0,"en",2570,5066,NA,"Freedom is not for free! #FreeAssange, Pro Diesel, Pro DM, No Green Tyranny, White Man & German Patriot from Dresden, Pro Orban! Gesund & munter. Eats Steaks!",FALSE
"3033","RT @OrganicLiveFood: We do not inherit the #earth from our ancestors, we borrow it from our #children: https://t.co/14RXI6N8Fm #GlobalWarmi…",140,15,0,"en",259,213,NA,"Nîl saoi gan locht",FALSE
"3034","RT @HumanExploring: ""It's time to release large parts of the #planet from our devastating impacts, reverse its dysbiosis, restore its livin…",140,74,0,"en",3193,3186,NA,"Interests: earth science, protecting wildlife, European travel in VW with my fluffy dog.",FALSE
"3035","In Kenya, the #dairy sector employs &gt;2 million households. Yet, #livestock productivity is low, and in the face of #ClimateChange, emissions are a key consideration for the industry's path forward. One solution? Rethinking forage markets. https://t.co/ggs9VKx4OU",265,0,0,"en",2,46,NA,"Comms Specialist w/ Land O'Lakes Venture37 | Advocate of global #FoodSecurity and lover of #food. | D.C. native w/ Canadian roots. | Views, my own.",FALSE
"3036","RT @RileyTChiweenie: @orangutans @TonyJuniper @theresecoffey @emilyshuckburgh @NaturalEngland #PalmOil = #Deforestation

.@RSPOtweets / “ #…",140,31,0,"en",318,277,NA,"",FALSE
"3037","Check this out:

#svenvanzanten #solar #renewables #climatechange #sustainability #Environment #Energy #CleanEnergy #electricity #solarenergy #SolarPower #energietransitie #zonnepanelen #klimaat #Nederland https://t.co/WsZ5m82nZM",205,0,0,"en",1054,1131,"https://t.co/atjXpYNOaz","Welcome to the twitterpage of Sven van Zanten. Sharing knowledge about future proof energy solutions, fighting climate change using technologic innovation.",FALSE
"3038","#CheckItOut➡️Message from Secretary @kentnnadozie of the International @planttreaty of the @FAO  
#ItAllStartsWithTheSeed🌱
#food #agriculture #nutrition #climateChange #FoodSecurity #farmers #multilateralism #biodiversity #GBF 
@FAOclimate @UNBiodiversity @IPBES @CGIAR @ENB @UN https://t.co/fDc3lDkkum",278,13,16,"en",4434,4997,"https://t.co/ueiAeUjTs3","International Treaty on Plant Genetic Resources for Food & Agriculture of the FAO, the UN agency leading efforts towards #ZeroHunger 
#ItAllStartsWithTheSeed🌱",FALSE
"3039","RT @HumanExploring: ""It's time to release large parts of the #planet from our devastating impacts, reverse its dysbiosis, restore its livin…",140,74,0,"en",1384,581,NA,"Life moves pretty fast. if you don't stop and look around once in a while, you might miss it. Retweets are not necessarily endorsements.",FALSE
"3040","""High February temperatures have #India already bracing for more #heatwaves... parts of India are recording temperatures that are usually seen in mid-March and at least 40 degrees above normal."" #climatechange
https://t.co/MmPEWMDnF7",233,0,1,"en",6405,4354,"https://t.co/vaxsQDOBod","Child, Adolescent & Adult Psychiatrist. Therapist. Neuroscientist. (Sometimes) Philosopher. Views mine. Tweet≠medical advice. Follow/RT/like≠endorsement.",FALSE
"3041","RT @CharuPragya: Delhi is 30° in February!

#ClimateChange https://t.co/s1EXioQt64",82,7,0,"et",1115,464,"https://t.co/hzgt2weiBg","Research Scholar, East Asia (@jnu_official_50) || District Convenor, Central Delhi, @bsm_bharat || Joint Secretary (2016-18) (@abvpjnu) || occasional columnist",FALSE
"3042","Chile's 5000-year-old tree.
What we can learn from the forest if we will only listen.
#climatechange #saveourforests https://t.co/kVCA37jxGg via @BBC_Reel",154,0,0,"en",14662,11398,"https://t.co/oCjLPHD8Lj","Born at 300 ppm with #Attlee PM #GOVEGAN #ClimateEmergency #Ireland https://t.co/EneHmRWIKA
https://t.co/vifLB1LEAF…",FALSE
"3043","The climate #risk foundations established by banks &amp; insurers can help organizations in other sectors jumpstart their journeys to #NetZero. @SASsoftware's @PeterPlochan explains how via @RiskMgmt. https://t.co/F4387VRcaj #ESG #ClimateChange https://t.co/IpEEPXLIgF",244,0,2,"en",576,1333,"https://t.co/qdEljCerwt","Wis. native. Mom of 2. PR pro at @SASsoftware covering #banking, #fraud, #risk, #security. I ♥ #music, #books, #dogs. Opinions are mine. Unless u want them.",FALSE
"3044","RT @NCSE: While no specific issues are described in the bill as controversial, evolution and climate change — though not scientifically con…",140,3,0,"en",897,1693,NA,"A North Dakotan living in Montana.  Learning love and life.  Political junkie.  Art lover.  Music fanatic.  Tweets are my own.",FALSE
"3045","RT @patriot_savvy: Perhaps travel to #EastPalestine #Ohio before #Ukraine. Oh, and… how many gallons of fuel did you use to get over there?…",140,19,0,"en",3018,2208,NA,"Self employed L.M.T. Independent MAGA America First populist. Dilley300 Trump2024 here to save our country",FALSE
"3046","RT @jamesvgingerich: Hawaii has declared a state of emergency due to heavy rains and flooding. (Cheddar) #ClimateChange #Environment https:…",140,2,0,"en",262,5003,NA,"",FALSE
"3047","RT @ClimatChristo: TRULY STUNNING MOMENT in  #Antarctica 

B29 structure has imploded in a few days 
WOW 

Your daily #Thwaites update 20.0…",140,21,0,"en",776,2194,NA,"",FALSE
"3048","RT @CalVolunteers: 🔥Temperatures aren’t the only thing rising with #climatechange.🔥 

🌎 This fall, hundreds of #CAClimateActionCorps Fellow…",140,14,0,"en",34,14,NA,"Travel Running Books Photography Food",FALSE
"3049","RT @GPPAC: 🆕The #PeaceCorner Podcast is back! 

Do local-level solutions work for a global problem such as #ClimateChange?

Find out! ➡️🎧 h…",140,6,0,"en",17,5,"https://t.co/6HSNFU2ebi","GPPAC West Africa is a network of civil society organisations working to prevent conflict & build peace in West Africa. Arm of @gppac

gppacwestafrica@gmail.com",FALSE
"3050","The Climate Dictionary, published by @UNDPClimate, is a useful resource for anyone communicating about #ClimateChange
https://t.co/lszfc59ehS",141,0,0,"en",421,222,"https://t.co/rjMMSlbsrR","Strategic Communications Advisor",FALSE
